"","Month","Day","Low","High","NormalLow","NormalHigh","RecordLow","LowYr","RecordHigh","HiYear","Precip","RecordPrecip","PrecipYr","date","Record","RecordText","RecordP","CulmPrec","dateInYear","month_name"
"1",1,1,47,52,44,56,31,1965,68,1996,0.09,2.16,2004,"1/1/11",FALSE,NA,FALSE,0.09,1,"Jan"
"2",1,2,48,51,44,56,29,1960,69,1996,0.35,1.67,1977,"1/2/11",FALSE,NA,FALSE,0.44,2,"Jan"
"3",1,3,45,53,44,56,31,1950,69,2000,0,1.33,1974,"1/3/11",FALSE,NA,FALSE,0.44,3,"Jan"
"4",1,4,39,53,44,56,29,1949,62,2006,0,5.59,1982,"1/4/11",FALSE,NA,FALSE,0.44,4,"Jan"
"5",1,5,38,55,44,56,26,1949,65,1986,0,1.98,1959,"1/5/11",FALSE,NA,FALSE,0.44,5,"Jan"
"6",1,6,37,52,44,56,29,1950,66,2003,0,2.34,1993,"1/6/11",FALSE,NA,FALSE,0.44,6,"Jan"
"7",1,7,39,47,44,56,31,1973,65,2003,0,0.87,1956,"1/7/11",FALSE,NA,FALSE,0.44,7,"Jan"
"8",1,8,43,49,44,56,30,1955,70,1962,0,1.33,1979,"1/8/11",FALSE,NA,FALSE,0.44,8,"Jan"
"9",1,9,39,48,44,56,33,1957,71,1962,0,1.31,1995,"1/9/11",FALSE,NA,FALSE,0.44,9,"Jan"
"10",1,10,36,49,44,56,29,1949,68,1953,0,1.23,1950,"1/10/11",FALSE,NA,FALSE,0.44,10,"Jan"
"11",1,11,43,49,44,56,30,1949,69,1959,0.04,1.3,1980,"1/11/11",FALSE,NA,FALSE,0.48,11,"Jan"
"12",1,12,48,55,44,56,32,1963,70,2009,0,1.56,1993,"1/12/11",FALSE,NA,FALSE,0.48,12,"Jan"
"13",1,13,45,56,44,56,29,1963,72,2009,0.15,1.97,1993,"1/13/11",FALSE,NA,FALSE,0.63,13,"Jan"
"14",1,14,50,60,44,56,31,1963,67,1948,0,2.21,1979,"1/14/11",FALSE,NA,FALSE,0.63,14,"Jan"
"15",1,15,47,63,44,56,31,1963,69,1974,0,1.03,1956,"1/15/11",FALSE,NA,FALSE,0.63,15,"Jan"
"16",1,16,47,57,44,56,31,1962,69,1991,0,1.84,1973,"1/16/11",FALSE,NA,FALSE,0.63,16,"Jan"
"17",1,17,48,57,44,56,32,1947,70,1991,0,1.06,1973,"1/17/11",FALSE,NA,FALSE,0.63,17,"Jan"
"18",1,18,46,59,44,56,30,1947,68,1948,0,1.82,1969,"1/18/11",FALSE,NA,FALSE,0.63,18,"Jan"
"19",1,19,48,61,44,56,35,1980,68,1976,0,1.52,2010,"1/19/11",FALSE,NA,FALSE,0.63,19,"Jan"
"20",1,20,45,63,44,57,30,1963,67,1976,0,2.49,1964,"1/20/11",FALSE,NA,FALSE,0.63,20,"Jan"
"21",1,21,43,60,44,57,30,1962,67,1976,0,4.07,1967,"1/21/11",FALSE,NA,FALSE,0.63,21,"Jan"
"22",1,22,44,67,45,57,32,1962,71,1968,0,1.55,1983,"1/22/11",FALSE,NA,FALSE,0.63,22,"Jan"
"23",1,23,47,63,45,57,31,1949,71,1948,0,1.3,2000,"1/23/11",FALSE,NA,FALSE,0.63,23,"Jan"
"24",1,24,43,63,45,57,31,1962,72,1948,0,1.72,2000,"1/24/11",FALSE,NA,FALSE,0.63,24,"Jan"
